id,class,confidence,note,note_en
Z0001,model_artifact,low,m7 молчит широкой полосой в повреждённой области; recto ведёт по краю листа; схода трассы не видно,m7 silent over a wide band inside the damaged area; recto leads along the sheet edge; no departure of the trace visible
Z0002,model_artifact,low,"плотная упаковка, m7 молчит вдоль трассы; трасса идёт вдоль ламины, сход не виден","dense packing, m7 silent along the trace; the trace runs along the lamina, no departure visible"
Z0009,model_artifact,low,"мутная повреждённая зона, m7 выпадает кусками на трассе; двухлистовой геометрии не видно","murky damaged zone, m7 drops out in patches on the trace; no two-sheet geometry visible"
Z0011,false_alarm,low,"трасса чисто на своём листе (длинные зелёные участки), спор точечный в мутной части","trace cleanly on its own sheet (long green stretches), the disagreement is pointwise in the murky part"
Z0013,model_artifact,low,"трасса вдоль зазора; recto рисует лист в пустоте, m7 молчит — вероятный фантом recto; кандидат в настоящий сход, но по правилу сомнение против real_error","trace along the gap; recto draws a sheet in the void, m7 is silent - likely a recto phantom; a candidate for a genuine departure, but by the rule doubt counts against real_error"
Z0018,false_alarm,low,"складка/мутная зона; спор точечный, широких провалов одной модели нет, трасса на листе","fold / murky zone; the disagreement is pointwise, no wide dropout of either model, the trace stays on its sheet"
Z0019,model_artifact,low,"плотные диагональные ламины; recto-only структурно вдоль всей ленты, трасса держит свою ламину","dense diagonal laminae; recto-only structurally along the whole ribbon, the trace holds its lamina"
Z0025,model_artifact,low,"лента вдоль края ламины у пустоты; m7 молчит структурно (94% recto-only), сход не виден","ribbon along the lamina edge next to a void; m7 silent structurally (94% recto-only), no departure visible"
Z0027,model_artifact,low,"раскрошенная зона; провалы m7 вдоль трассы, двухлистовой альтернативы не видно","crumbled zone; m7 dropouts along the trace, no two-sheet alternative visible"
Z0029,model_artifact,low,"тесные ламины; m7 молчит структурно (97% recto-only) вдоль трасс, сход не виден","tight laminae; m7 silent structurally (97% recto-only) along the traces, no departure visible"
Z0030,false_alarm,low,"гребень складки; спор смешанный точечный (79% recto-only, есть m7-only), трасса держит ламину","fold crest; mixed pointwise disagreement (79% recto-only, some m7-only), the trace holds its lamina"
Z0035,model_artifact,low,"складка с разрушенным ядром; m7 молчит на фланге, трасса держит ламину","fold with a destroyed core; m7 silent on the flank, the trace holds its lamina"
Z0037,model_artifact,low,лента вдоль ламины с включениями; m7 молчит структурно (94% recto-only),ribbon along a lamina with inclusions; m7 silent structurally (94% recto-only)
Z0038,false_alarm,low,"крутая складка с ярким включением; трасса держит ламину, поддержка смешанная (много зелёного)","steep fold with a bright inclusion; the trace holds its lamina, support is mixed (much green)"
Z0039,model_artifact,low,мутная зона и складки; m7 молчит структурно вдоль трасс (87% recto-only),murky zone and folds; m7 silent structurally along the traces (87% recto-only)
