file;zone;independent;primary_class;primary_confidence;control_class;control_confidence;note;note_en
Z0058_r387.png;Z0058;1;false_alarm;low;false_alarm;low;"контроль: жёлтая цепь вдоль ламины, локальный красный участок у зазора, читаемого схода нет; real_error нет";"control: a yellow chain along the lamina, a local red stretch at the gap, no readable departure; no real_error"
Z0058_r391.png;Z0058;1;false_alarm;low;false_alarm;low;"контроль: 2-3 узла зоны у края зазора, схода нет; real_error нет";"control: 2-3 zone nodes at the edge of the gap, no departure; no real_error"
Z0106_r383.png;Z0106;1;epoch_drift;high;epoch_drift;high;"контроль: цепь держится одного листа, banner параллелен со сдвигом; схода нет";"control: the chain keeps to a single sheet, the banner parallel with an offset; no departure"
Z0106_r386.png;Z0106;0;epoch_drift;high;epoch_drift;high;окно НЕ независимо (dz 11.1 < 12), в вердикт не входит;the window is NOT independent (dz 11.1 < 12), it does not enter the verdict
Z0136_r678.png;Z0136;1;false_alarm;low;false_alarm;low;"контроль: единственный узел зоны на своём листе при плотном banner; моста через развилку в этом срезе нет";"control: the single zone node is on its own sheet with the banner dense; there is no bridge across the fork in this slice"
Z0136_r682.png;Z0136;1;false_alarm;low;false_alarm;low;контроль: 3-4 узла зоны вдоль своего листа (красные 5-10 vx), схода/моста нет;control: 3-4 zone nodes along their own sheet (red, 5-10 vx), no departure and no bridge
Z0163_r680.png;Z0163;0;epoch_drift;low;epoch_drift;low;окно НЕ независимо (dz 11.4 < 12), в вердикт не входит;the window is NOT independent (dz 11.4 < 12), it does not enter the verdict
Z0163_r682.png;Z0163;0;false_alarm;low;false_alarm;low;окно НЕ независимо (dz 11.3 < 12), в вердикт не входит;the window is NOT independent (dz 11.3 < 12), it does not enter the verdict
Z0163_r681_dz+14.png;Z0163;1;false_alarm;low;false_alarm;low;"контроль: 3 узла зоны на своём листе, banner на трассе; схода нет";"control: 3 zone nodes on their own sheet, the banner on the trace; no departure"
Z0163_r681_dz-14.png;Z0163;1;epoch_drift;low;epoch_drift;low;контроль: цепь вдоль одного листа у стыка, узлы красные у стыка, схода на чужой лист не видно;control: the chain runs along a single sheet at a junction, the nodes red at the junction, no departure onto a foreign sheet visible
