id,class,confidence,note,note_en
Z0000,epoch_drift,high,Узлы идут параллельно banner по тому же листу; сход отсутствует,Nodes run parallel to the banner on the same sheet; no departure
Z0003,epoch_drift,high,Три окна показывают устойчивый параллельный сдвиг вдоль одного листа,Three windows show a steady parallel shift along a single sheet
Z0004,epoch_drift,low,Узкая зона; узлы близко к banner с небольшим систематическим сдвигом,Narrow zone; nodes close to the banner with a small systematic offset
Z0008,banner_edge,low,Высокий z~16500; фон разрежен; вероятна высотная граница покрытия banner,High z~16500; background sparse; likely the height limit of banner coverage
Z0010,epoch_drift,low,Волнистый лист; узлы следуют кривой banner с постоянным смещением [контроль: класс подтверждён],Wavy sheet; nodes follow the banner curve with a constant offset [control: class confirmed]
Z0011,epoch_drift,low,Разреженный фон; узлы параллельны banner без явного схода с листа,Sparse background; nodes parallel to the banner with no clear departure from the sheet
Z0012,banner_edge,low,Единственное окно; тёмный разреженный фон на z~16568 как у Z0008,"A single window; dark sparse background at z~16568, as in Z0008"
Z0013,epoch_drift,high,Широкая полоса красных/оранжевых узлов вдоль плотного непрерывного banner [контроль: класс подтверждён],A wide band of red/orange nodes along a dense continuous banner [control: class confirmed]
Z0014,banner_edge,low,Складчатый лист; banner редеет справа где идёт цепочка узлов,"Folded sheet; the banner thins on the right, where the chain of nodes runs"
Z0015,epoch_drift,high,Волнистый лист отслеживается стабильно; узлы держат сдвиг вдоль кривой,The wavy sheet is tracked stably; the nodes hold their offset along the curve
Z0017,epoch_drift,low,плотный непрерывный banner; узлы идут параллельно листу без схода,dense continuous banner; nodes run parallel to the sheet with no departure
Z0020,epoch_drift,low,контроль: цепь вдоль диагонального листа; banner на той же ветви; пересечение — иллюзия наклона,control: chain along a diagonal sheet; banner on the same branch; the crossing is an illusion of the tilt
Z0022,epoch_drift,low,цепочка узлов повторяет кривизну листа; banner плотный непрерывный,the chain of nodes follows the curvature of the sheet; banner dense and continuous
Z0025,epoch_drift,low,узлы идут вдоль локального листа горизонтально; banner не обрывается,nodes run horizontally along the local sheet; the banner does not break off
Z0028,epoch_drift,low,широкое облако banner-точек; расхождение не локальный очаг,a broad cloud of banner points; the divergence is not a local focus
Z0032,false_alarm,low,узлы близко к трассе на фоне регулярных листов; структура нечёткая,nodes close to the trace against regular sheets; the structure is indistinct
Z0033,false_alarm,low,узлы плотно у отметки; banner непрерывен обеих окнах; сход не виден,nodes crowd at the marker; the banner is continuous in both windows; no departure visible
Z0034,false_alarm,low,узлы разрежены и слабо выражены; banner плотный без обрыва,nodes sparse and weakly expressed; banner dense with no break
Z0035,banner_edge,low,banner редеет в левой части кадра ближе к отметке зоны,"the banner thins in the left part of the frame, nearer the zone marker"
Z0036,epoch_drift,low,густая параллельная текстура; узлы идут вдоль соседних листов,dense parallel texture; the nodes run along neighbouring sheets
Z0037,epoch_drift,low,Banner непрерывен в обоих окнах узлы идут параллельно листу со сдвигом,"Banner continuous in both windows, nodes run parallel to the sheet with an offset"
Z0038,epoch_drift,low,Красные узлы широкой полосой не локальный очаг banner плотный,"Red nodes in a wide band, not a local focus, banner dense"
Z0041,false_alarm,low,Узлы почти на трассе banner явного схода или сдвига не видно,"Nodes almost on the trace, no clear banner departure or offset visible"
Z0043,false_alarm,low,Локальный кластер у сгиба но banner плотный непрерывный без обрыва,"A local cluster at the bend, but the banner is dense and continuous with no break"
Z0044,false_alarm,low,Узлы у изгиба трассы banner цел выраженного признака нет,"Nodes at a bend of the trace, banner intact, no pronounced sign"
Z0045,epoch_drift,low,Узлы разбросаны широкой полосой вдоль листов banner непрерывен,"Nodes scattered in a wide band along the sheets, banner continuous"
Z0047,false_alarm,low,Компактный узел у порога banner плотный без обрыва и сдвига,"A compact node at the threshold, banner dense with no break and no offset"
Z0049,epoch_drift,low,Туго свёрнутая складка узлы разбросаны без явного схода с листа,"A tightly rolled fold, nodes scattered with no clear departure from the sheet"
Z0050,epoch_drift,low,Узлы смещены параллельно трассе в обоих окнах banner плотный,"Nodes displaced parallel to the trace in both windows, banner dense"
Z0054,banner_edge,low,В правом окне banner редеет к низу кадра узлы упираются в разрежение,"In the right window the banner thins towards the bottom of the frame, the nodes run into the thinning"
Z0055,false_alarm,low,Banner плотный и совпадает с трассой; расхождение на грани порога,Banner dense and coincident with the trace; the divergence sits on the threshold
Z0056,banner_edge,high,Banner редеет и обрывается прямо у узлов зоны; трасса на своём листе,Banner thins and breaks off right at the zone nodes; the trace stays on its own sheet
