file;zone;primary_class;primary_confidence;control_class;control_confidence;note;note_en
Z0015_band.png;Z0015;crossing;high;crossing;low;"blind: полоса+banner уходят вверх до +8..+15, на n=0 зазор; контроль: зазор на трассе s~1300-1500 (~200 vx, не >500), лист и banner в интервале выше (+5..+10), возврат справа — сход локализован";"blind: band+banner leave upwards to +8..+15, a gap on n=0; control: the gap on the trace at s~1300-1500 (~200 vx, not >500), sheet and banner lie higher over the interval (+5..+10), returning on the right - the departure is localised"
Z0017_band.png;Z0017;on_sheet;high;;;"blind: полоса на n=0, banner вплотную; ни зазора >=8 vx, ни чужой полосы";"blind: band on n=0, banner right against it; neither a gap >=8 vx nor a foreign band"
Z0025_band.png;Z0025;on_sheet;high;;;"blind: полоса у n=0 +-3-5 vx, banner вдоль неё; зазоров нет";"blind: band at n=0 +-3-5 vx, banner along it; no gaps"
Z0033_band.png;Z0033;crossing;high;crossing;high;"blind: полоса+banner уходят вверх до +15, на n=0 зазор сотни vx; контроль: исходный лист с banner уходит диагонально вверх от s~800, на n=0 остаётся полоса БЕЗ banner (лист соседнего витка на трассе) — вторая подформа crossing";"blind: band+banner leave upwards to +15, a gap of hundreds of vx on n=0; control: the original sheet with the banner leaves diagonally upwards from s~800, and a band WITHOUT a banner remains on n=0 (the sheet of the neighbouring winding on the trace) - the second sub-form of crossing"
Z0054_band.png;Z0054;crossing;high;on_sheet;low;"blind: провал на n=0 s~750-1050; контроль: recto-полоса на n=0 непрерывна по всей зоне, banner параллельно на +2..+8 — дрейф-картина, протяжённого провала нет; сомнение против crossing";"blind: a dropout on n=0 at s~750-1050; control: the recto band on n=0 is continuous across the whole zone, the banner parallel at +2..+8 - a drift picture, no extended dropout; doubt against crossing"
Z0055_band.png;Z0055;on_sheet;high;;;"blind: полоса на n=0 непрерывна, banner вдоль неё (0..-5); зазоров нет";"blind: the band on n=0 is continuous, banner along it (0..-5); no gaps"
Z0069_band.png;Z0069;on_sheet;high;;;"blind: полоса на n=0 +-3 vx, banner вдоль; ни разрыва >=8 vx, ни второй полосы";"blind: band on n=0 +-3 vx, banner along it; neither a break >=8 vx nor a second band"
Z0078_band.png;Z0078;crossing;high;crossing;high;"blind: после s~950 полоса+banner вниз до -8..-10, на n=0 зазор ~300 vx; контроль: подтверждаю — зазор s~1050-1230 (~180 vx) в обеих панелях, возврат на n=0 справа";"blind: after s~950 band+banner go down to -8..-10, a gap of ~300 vx on n=0; control: confirmed - the gap at s~1050-1230 (~180 vx) in both panels, returning to n=0 on the right"
Z0088_band.png;Z0088;crossing;high;on_sheet;low;"blind: banner отдельной полосой выше n=0; контроль: параллельный отрыв +3..+8 по всей зоне без локального входа/выхода — дрейф-паттерн (прецедент Z0106), сомнение против crossing";"blind: banner as a separate band above n=0; control: a parallel detachment of +3..+8 across the whole zone with no local entry or exit - a drift pattern (the Z0106 precedent), doubt against crossing"
Z0103_band.png;Z0103;on_sheet;low;;;"blind: полоса на n=0 непрерывна; часть banner смещена к +5..+10 (сосед?); консервативно on_sheet";"blind: the band on n=0 is continuous; part of the banner is displaced to +5..+10 (a neighbour?); conservatively on_sheet"
Z0107_band.png;Z0107;on_sheet;high;;;"blind: полоса на n=0 +-2-3 vx (вертикальный CT-артефакт s~790-830 не мешает), banner вдоль; зазора нет";"blind: band on n=0 +-2-3 vx (the vertical CT artifact at s~790-830 does not interfere), banner along it; no gap"
Z0121_band.png;Z0121;crossing;high;crossing;low;"blind: s~930-1160 полоса+banner вверх до +5..+10, на n=0 зазор; контроль: отрыв локализован — по краям зоны лист касается/пересекает n=0, внутри ступенчатый разрыв полосы и зазор >100 vx на трассе";"blind: at s~930-1160 band+banner go up to +5..+10, a gap on n=0; control: the detachment is localised - at the zone edges the sheet touches or crosses n=0, inside there is a stepped break of the band and a gap of >100 vx on the trace"
Z0124_band.png;Z0124;crossing;low;on_sheet;low;"blind: полоса вверх +3..+15 синхронно с banner; контроль: сплошной параллельный отрыв +3..+12 по всей зоне без входа/выхода — дрейф-паттерн Z0106, сомнение против crossing";"blind: the band goes up +3..+15 in step with the banner; control: a continuous parallel detachment of +3..+12 across the whole zone with no entry or exit - the Z0106 drift pattern, doubt against crossing"
Z0153_band.png;Z0153;on_sheet;low;;;"blind: полоса и banner у n=0 с колебаниями до 5-8 vx, разрыва >=8 vx нет; заметный дрейф — confidence low";"blind: band and banner near n=0 with excursions up to 5-8 vx, no break >=8 vx; noticeable drift - confidence low"
CTRL_Z0058;Z0058;on_sheet;high;;;контроль-зона TOPO-033 (эталон on_sheet): совпадение;TOPO-033 control zone (on_sheet reference): agreement
CTRL_Z0106;Z0106;on_sheet;high;;;контроль-зона TOPO-033 (эталон on_sheet): совпадение;TOPO-033 control zone (on_sheet reference): agreement
CTRL_Z0136;Z0136;crossing;high;;;контроль-зона TOPO-033 (эталон crossing): совпадение;TOPO-033 control zone (crossing reference): agreement
CTRL_Z0163;Z0163;crossing;low;on_sheet;high;"контроль-зона TOPO-033 (эталон on_sheet): расхождение слепого; контроль-зум подтвердил эталон — полоса на трассе с короткими щелями, banner с ней; гейт качества прохода: 1 расхождение из 4 — проход валиден";"TOPO-033 control zone (on_sheet reference): the blind pass disagreed; the control zoom upheld the reference - the band is on the trace with short slits, the banner with it; pass quality gate: 1 disagreement out of 4 - the pass is valid"
