id,class,confidence,note,note_en
Z0001,epoch_drift,high,узлы идут параллельно banner с постоянным смещением по листу,nodes run parallel to the banner with a constant offset along the sheet
Z0002,epoch_drift,low,линия узлов почти вертикальна неоднозначно на фоне плотных листов,"the node line is almost vertical, ambiguous against the dense sheets"
Z0005,epoch_drift,high,плавный дрейф вдоль складки banner непрерывен без схода с листа,"smooth drift along a banner fold, continuous, with no departure from the sheet"
Z0006,epoch_drift,high,во всех окнах параллельный сдвиг вдоль листа без прыжка,"in every window a parallel shift along the sheet, no jump"
Z0007,epoch_drift,high,чёткий параллельный дрейф вдоль одного листа banner плотный,"clear parallel drift along a single sheet, banner dense"
Z0009,epoch_drift,low,разреженные узлы слабый сигнал похоже на дрейф по складке,"sparse nodes, weak signal, looks like drift along the fold"
Z0016,false_alarm,low,почти все узлы зелёные на трассе немного красного у края,"almost all nodes green on the trace, a little red at the edge"
Z0018,false_alarm,low,узлы у якоря преимущественно зелёные близко к banner,"nodes near the anchor predominantly green, close to the banner"
Z0019,false_alarm,low,локальный красный очаг у якоря быстро переходит в зелёный,a local red focus near the anchor turns green quickly
Z0021,banner_edge,low,верификация: градиент зелёный-красный к краю покрытия banner,verification: green-to-red gradient towards the edge of banner coverage
Z0023,banner_edge,low,верификация: цепь на своём листе banner редеет у вершины складки,"verification: the chain is on its own sheet, the banner thins at the fold apex"
Z0024,epoch_drift,high,красная полоса сдвига вдоль листов во всех окнах без схода,"a red band of offset along the sheets in every window, no departure"
Z0026,false_alarm,low,узлы зелёные почти совпадают с banner локальные красные точки,"nodes green, almost coincident with the banner, local red points"
Z0027,epoch_drift,low,узлы вдоль края скана со сдвигом banner не редеет,"nodes along the scan edge with an offset, the banner does not thin"
Z0029,epoch_drift,high,равномерный сдвиг узлов относительно banner на тех же листах,a uniform shift of the nodes relative to the banner on the same sheets
Z0030,false_alarm,low,узлы преимущественно зелёные слегка смещены от banner местами,"nodes predominantly green, slightly displaced from the banner in places"
Z0031,epoch_drift,low,узлы и banner на соседних параллельных полосах со сдвигом,nodes and banner on adjacent parallel bands with an offset
Z0039,false_alarm,high,узлы плотно совпадают с banner почти во всех точках,nodes coincide tightly with the banner at almost every point
Z0040,epoch_drift,low,широкая полоса сдвига узлов от banner без ухода с листа,"a wide band of node offset from the banner, without leaving the sheet"
Z0042,false_alarm,low,мало узлов близко к banner на тонкой жиле листа,"few nodes, close to the banner on a thin vein of the sheet"
Z0046,epoch_drift,low,дуга узлов вдоль листа рост сдвига банер плотный непрерывный,"an arc of nodes along the sheet, growing offset, banner dense and continuous"
Z0048,false_alarm,low,узлы у порога согласия банер сплошной явной структуры нет,"nodes at the agreement threshold, banner solid, no clear structure"
Z0051,epoch_drift,high,узлы параллельно листу с растущим сдвигом в обоих окнах банер плотный,"nodes parallel to the sheet with a growing offset in both windows, banner dense"
Z0052,epoch_drift,low,на сгибе локальный красный кластер узлов банер плотный сход не ясен,"a local red cluster of nodes at the bend, banner dense, departure unclear"
Z0053,epoch_drift,low,цепочка узлов вдоль листа со сдвигом одно окно неоднозначно,"a chain of nodes along the sheet with an offset, one window ambiguous"
Z0057,epoch_drift,low,слева дуга узлов справа узлы у порога банер плотный,"on the left an arc of nodes, on the right nodes at the threshold, banner dense"
Z0058,real_error,high,вертикальная цепь узлов пересекает диагональные листы банер держит свой лист,"a vertical chain of nodes crosses the diagonal sheets, the banner holds its own sheet"
Z0063,banner_edge,low,банер редеет прямо у зоны узлов мало,"the banner thins right at the zone, few nodes"
Z0066,epoch_drift,low,горизонтальная цепь узлов в пачке тонких листов банер плотный,"a horizontal chain of nodes inside a bundle of thin sheets, banner dense"
Z0073,epoch_drift,high,узлы параллельно листу в обоих окнах без схода банер плотный,"nodes parallel to the sheet in both windows, no departure, banner dense"
Z0074,epoch_drift,low,цепочка узлов идёт вдоль листа со сдвигом без схода,"the chain of nodes runs along the sheet with an offset, no departure"
Z0082,false_alarm,low,узлы почти на banner слабый градиент у края зоны,"nodes almost on the banner, a weak gradient at the zone edge"
Z0087,epoch_drift,low,в среднем окне плавный градиент вдоль листа крайние окна чистые,"in the middle window a smooth gradient along the sheet, the outer windows are clean"
Z0090,epoch_drift,low,плавный сдвиг узлов вдоль диагонального листа без прыжка,"a smooth shift of the nodes along a diagonal sheet, no jump"
Z0091,epoch_drift,high,в обоих окнах параллельный сдвиг вдоль листа без схода,"in both windows a parallel shift along the sheet, no departure"
Z0095,epoch_drift,high,оба окна показывают плавный сдвиг вдоль изогнутого листа,both windows show a smooth shift along a curved sheet
Z0098,epoch_drift,low,одно окно плавный градиент цвета вдоль одного листа,"one window, a smooth colour gradient along a single sheet"
Z0104,epoch_drift,high,в обоих окнах сдвиг вдоль пологого листа без прыжка,"in both windows a shift along a shallow sheet, no jump"
Z0106,real_error,high,узлы идут круто поперёк волокон пересекая соседние листы,"the nodes run steeply across the fibres, crossing neighbouring sheets"
Z0108,false_alarm,high,узлы редки banner плотно совпадает с трассой в обоих окнах,"nodes sparse, the banner coincides tightly with the trace in both windows"
Z0109,false_alarm,low,красные узлы в резком изгибе листа banner плотный рядом,"red nodes in a sharp bend of the sheet, banner dense alongside"
Z0110,epoch_drift,high,зелёный плавно переходит в красный вдоль листа banner непрерывен,"green turns smoothly into red along the sheet, the banner is continuous"
Z0111,false_alarm,low,чередование красных и зелёных узлов у порога плотный banner,"red and green nodes alternate at the threshold, banner dense"
Z0112,epoch_drift,low,вертикальный переход зелёный сверху красный снизу непрерывный banner,"a vertical transition, green above and red below, banner continuous"
Z0114,false_alarm,high,единичные разрозненные красные точки без структуры плотный banner,"isolated scattered red points with no structure, banner dense"
Z0116,epoch_drift,low,узкий изгиб листа зелёные и красные узлы редкий banner слева,"narrow bend of the sheet, green and red nodes, banner sparse on the left"
Z0117,banner_edge,low,красная цепочка узлов там где banner заметно редеет,a red chain of nodes exactly where the banner thins noticeably
Z0118,false_alarm,low,изолированные красные узлы у X зелёные в остальной зоне,"isolated red nodes near X, green over the rest of the zone"
Z0130,banner_edge,high,banner обрывается точно у зоны узлы у самого края,"the banner breaks off exactly at the zone, nodes right at the edge"
Z0133,false_alarm,low,почти все узлы зелёные один красный banner лежит на трассе,"almost all nodes green, one red, the banner lies on the trace"
Z0136,real_error,high,мост между близкими листами у развилки banner держит оба,"a bridge between two close sheets at a fork, the banner holds both"
Z0141,epoch_drift,high,трасса идёт вдоль своего листа со сдвигом banner плотный,"the trace runs along its own sheet with an offset, banner dense"
Z0145,banner_edge,high,banner обрывается по диагонали ниже трасса продолжает лист дальше,"the banner breaks off diagonally, below it the trace continues on the sheet"
Z0146,banner_edge,high,banner редеет у зоны в обеих панелях трасса не сходит,"the banner thins at the zone in both panels, the trace does not depart"
Z0162,banner_edge,high,banner плотный сверху почти исчезает ниже зоны у трассы,"banner dense above, almost vanishing below the zone near the trace"
Z0163,real_error,high,локальный сход на соседний лист у стыка banner плотный везде,"a local departure onto the neighbouring sheet at a junction, banner dense everywhere"
Z0166,epoch_drift,low,верификация: постепенный отход после схождения ветви неразличимы,"verification: a gradual parting after convergence, the branches are indistinguishable"
